bus_id,arrival_minute,soc_init,energy_required_kwh,capacity,detected_interval
CS 1,0,0.0896,273.12,300.0,1
CS 2,0,0.0896,273.12,300.0,1
CS 3,0,0.0896,273.12,300.0,1
CS 4,0,0.0896,273.12,300.0,1
CS 5,0,0.0896,273.12,300.0,1
CS 6,0,0.0896,273.12,300.0,1
CS 7,0,0.0896,273.12,300.0,1
CS 8,0,0.0896,273.12,300.0,1
CS 9,0,0.0896,273.12,300.0,1
CS 10,0,0.0896,273.12,300.0,1
CS 11,0,0.0896,273.12,300.0,1
CS 12,0,0.0896,273.12,300.0,1
CS 13,0,0.0896,273.12,300.0,1
CS 14,0,0.0896,273.12,300.0,1
CS 15,0,0.0896,273.12,300.0,1
CS 16,0,0.0896,273.12,300.0,1
CS 17,0,0.2444,226.68,300.0,1
CS 18,0,0.2444,226.68,300.0,1
CS 19,0,0.2444,226.68,300.0,1
CS 20,0,0.2444,226.68,300.0,1
CS 21,0,0.2444,226.68,300.0,1
CS 22,0,0.2444,226.68,300.0,1
CS 23,0,0.2444,226.68,300.0,1
CS 24,0,0.2444,226.68,300.0,1
CS 25,0,0.2444,226.68,300.0,1
CS 26,0,0.195,241.49,300.0,1
CS 27,0,0.2444,226.68,300.0,1
CS 28,0,0.195,241.49,300.0,1
CS 29,0,0.195,241.49,300.0,1
CS 30,0,0.195,241.49,300.0,1
CS 31,0,0.2317,230.5,300.0,1
CS 32,0,0.2317,230.5,300.0,1
CS 33,0,0.0911,272.66,300.0,1
CS 34,0,0.2317,230.5,300.0,1
CS 35,0,0.2317,230.5,300.0,1
CS 36,0,0.2317,230.5,300.0,1
CS 37,0,0.2317,230.5,300.0,1
CS 38,0,0.0911,272.66,300.0,1
CS 39,0,0.2317,230.5,300.0,1
CS 40,0,0.0911,272.66,300.0,1
CS 41,0,0.0911,272.66,300.0,1
CS 42,0,0.0911,272.66,300.0,1
CS 43,0,0.0911,272.66,300.0,1
CS 44,0,0.0948,271.57,300.0,1
CS 45,0,0.0948,271.57,300.0,1
CS 46,0,0.0948,271.57,300.0,1
CS 47,0,0.0948,271.57,300.0,1
CS 48,0,0.0948,271.57,300.0,1
CS 49,0,0.0948,271.57,300.0,1
CS 50,0,0.0948,271.57,300.0,1
